registro,id,duracion_estadia,genero,edad,ninos,codigo_destino,tipo_acomodacion
"""Registro 1421""",1010109,7,M,39,0,ES,Hotel
"""Registro 1422""",1000729,5,F,46,0,COL,Hotel
"""Registro 1423""",1005807,4,F,44,<NA>,<NA>,AirBnB
"""Registro 1424""",1013047,6,M,34,0,ES,Hotel
"""Registro 1425""",1009091,3,F,43,0,COL,AirBnB
"""Registro 1426""",1006595,3,M,29,1,PE,AirBnB
"""Registro 1427""",1011762,3,M,45,1,US,Hotel
"""Registro 1428""",1006492,3,M,44,0,UK,AirBnB
"""Registro 1429""",1011900,5,M,<NA>,0,<NA>,AirBnB
"""Registro 1430""",1001776,4,F,40,1,COL,Hotel
"""Registro 1431""",1000876,4,F,44,0,UK,Hotel
"""Registro 1432""",1010321,6,F,35,1,UK,Hotel
"""Registro 1433""",1008752,2,M,42,0,AR,AirBnB
"""Registro 1434""",1011117,6,F,37,0,NL,Hotel
"""Registro 1435""",1010946,4,M,50,0,IT,AirBnB
"""Registro 1436""",1013079,3,F,<NA>,0,<NA>,Hotel
"""Registro 1437""",1012443,3,F,40,0,US,AirBnB
"""Registro 1438""",1004625,3,M,32,1,PE,AirBnB
"""Registro 1439""",1013829,2,M,38,1,NL,Hotel
"""Registro 1440""",1000796,4,F,42,1,AR,Hotel
"""Registro 1441""",1007171,4,F,42,1,PE,AirBnB
"""Registro 1442""",1012383,2,F,43,0,US,Hotel
"""Registro 1443""",1011810,5,F,<NA>,1,ES,AirBnB
"""Registro 1444""",1001288,3,M,37,0,UK,Hotel
"""Registro 1445""",1007881,4,M,45,1,COL,Hotel
"""Registro 1446""",1011093,7,F,<NA>,0,<NA>,AirBnB
"""Registro 1447""",1011759,5,M,53,1,AR,Hotel
"""Registro 1448""",1005922,5,F,33,1,US,Hotel
"""Registro 1449""",1003458,4,M,44,0,NL,AirBnB
"""Registro 1450""",1004481,3,M,39,1,US,AirBnB
"""Registro 1451""",1005414,2,F,<NA>,0,AR,AirBnB
"""Registro 1452""",1013617,3,F,30,0,UK,AirBnB
"""Registro 1453""",1012034,1,F,48,1,UK,Hotel
"""Registro 1454""",1013506,3,F,45,1,COL,AirBnB
"""Registro 1455""",1000698,5,F,47,1,PE,AirBnB
"""Registro 1456""",1009712,3,F,46,1,AR,AirBnB
"""Registro 1457""",1004363,5,M,38,1,ES,AirBnB
"""Registro 1458""",1010052,3,F,38,0,ES,Hotel
"""Registro 1459""",1011961,2,M,44,0,<NA>,AirBnB
"""Registro 1460""",1007297,2,M,43,0,NL,AirBnB
"""Registro 1461""",1010337,2,M,40,<NA>,COL,AirBnB
"""Registro 1462""",1013410,3,F,41,1,PE,Hotel
"""Registro 1463""",1013754,1,M,50,1,AR,Hotel
"""Registro 1464""",1008324,1,F,38,1,NL,Hotel
"""Registro 1465""",1011877,4,M,45,1,IT,Hotel
"""Registro 1466""",1013308,9,M,43,1,COL,Hotel
"""Registro 1467""",1013331,7,F,45,0,<NA>,Hotel
"""Registro 1468""",1003810,6,M,47,0,US,AirBnB
"""Registro 1469""",1013169,4,F,38,1,AR,Hotel
"""Registro 1470""",1009995,3,F,39,1,NL,Hotel
"""Registro 1471""",1011645,4,F,<NA>,1,PE,Hotel
"""Registro 1472""",1004681,3,M,42,0,US,AirBnB
"""Registro 1473""",1000334,7,M,28,0,COL,AirBnB
"""Registro 1474""",1006161,4,M,41,0,UK,AirBnB
"""Registro 1475""",1004319,3,M,36,0,<NA>,Hotel
"""Registro 1476""",1001923,1,M,48,0,ES,AirBnB
"""Registro 1477""",1000231,4,F,36,<NA>,UK,Hotel
"""Registro 1478""",1004945,2,M,40,0,PE,Hotel
"""Registro 1479""",1009310,3,M,40,0,ES,Hotel
"""Registro 1480""",1000680,1,F,45,0,ES,AirBnB
"""Registro 1481""",1005392,3,M,53,0,AR,AirBnB
"""Registro 1482""",1002879,4,M,37,1,US,Hotel
"""Registro 1483""",1012601,5,M,32,1,COL,AirBnB
"""Registro 1484""",1007618,5,F,44,0,<NA>,AirBnB
"""Registro 1485""",1005916,4,F,45,0,AR,Hotel
"""Registro 1486""",1012269,2,F,40,0,<NA>,AirBnB
"""Registro 1487""",1004396,2,F,38,1,COL,Hotel
"""Registro 1488""",1010553,3,M,<NA>,0,<NA>,Hotel
"""Registro 1489""",1004463,2,F,50,0,UK,Hotel
"""Registro 1490""",1005702,5,F,43,<NA>,<NA>,Hotel
"""Registro 1491""",1007858,6,M,41,0,COL,Hotel
"""Registro 1492""",1011384,4,M,<NA>,<NA>,COL,AirBnB
"""Registro 1493""",1004973,3,F,38,<NA>,UK,Hotel
"""Registro 1494""",1009700,4,M,38,0,AR,Hotel
"""Registro 1495""",1001179,6,M,43,1,IT,AirBnB
"""Registro 1496""",1008803,3,M,47,0,NL,AirBnB
"""Registro 1497""",1002994,3,M,40,0,COL,Hotel
"""Registro 1498""",1001800,4,F,41,1,AR,AirBnB
"""Registro 1499""",1012979,2,F,43,1,NL,Hotel
"""Registro 1500""",1005512,5,F,48,1,<NA>,AirBnB
"""Registro 1501""",1010790,6,F,50,1,AR,AirBnB
"""Registro 1502""",1012506,5,F,45,0,COL,Hotel
"""Registro 1503""",1013007,4,M,43,1,PE,Hotel
"""Registro 1504""",1002861,5,F,44,1,UK,AirBnB
"""Registro 1505""",1009412,3,M,34,1,UK,Hotel
"""Registro 1506""",1012420,4,M,44,0,<NA>,AirBnB
"""Registro 1507""",1010165,6,F,40,0,IT,AirBnB
"""Registro 1508""",1005507,5,F,37,<NA>,COL,Hotel
"""Registro 1509""",1012432,4,M,47,0,UK,Hotel
"""Registro 1510""",1009466,3,M,47,0,AR,AirBnB
"""Registro 1511""",1008639,4,M,37,0,ES,Hotel
"""Registro 1512""",1008266,4,M,48,1,US,Hotel
"""Registro 1513""",1010079,2,M,41,0,AR,AirBnB
"""Registro 1514""",1013533,3,F,44,0,<NA>,AirBnB
"""Registro 1515""",1003197,6,F,34,1,AR,Hotel
"""Registro 1516""",1003269,6,M,42,1,ES,Hotel
"""Registro 1517""",1006276,4,M,51,0,COL,AirBnB
"""Registro 1518""",1001340,3,M,37,1,IT,Hotel
"""Registro 1519""",1000831,3,M,<NA>,1,<NA>,AirBnB
"""Registro 1520""",1002039,3,M,46,1,US,Hotel
"""Registro 1521""",1001411,2,F,43,1,PE,Hotel
"""Registro 1522""",1006616,7,M,39,0,PE,Hotel
"""Registro 1523""",1000620,5,F,41,1,IT,AirBnB
"""Registro 1524""",1004832,2,F,38,0,US,AirBnB
"""Registro 1525""",1000222,6,M,<NA>,<NA>,AR,Hotel
"""Registro 1526""",1003802,6,F,44,1,UK,AirBnB
"""Registro 1527""",1009424,3,M,<NA>,1,UK,AirBnB
"""Registro 1528""",1013856,5,F,34,0,<NA>,AirBnB
"""Registro 1529""",1013346,4,F,39,0,COL,Hotel
"""Registro 1530""",1012593,4,F,32,0,AR,Hotel
"""Registro 1531""",1003591,3,M,43,0,US,AirBnB
"""Registro 1532""",1011727,4,M,<NA>,0,PE,Hotel
"""Registro 1533""",1003534,3,F,30,1,UK,Hotel
"""Registro 1534""",1012057,4,F,40,0,AR,AirBnB
"""Registro 1535""",1006179,4,M,38,0,<NA>,Hotel
"""Registro 1536""",1007482,8,M,<NA>,1,<NA>,AirBnB
"""Registro 1537""",1013726,6,F,39,1,IT,Hotel
"""Registro 1538""",1009446,3,F,51,1,IT,AirBnB
"""Registro 1539""",1002762,1,F,40,0,US,AirBnB
"""Registro 1540""",1012281,3,F,46,0,COL,Hotel
"""Registro 1541""",1003326,8,M,31,1,UK,Hotel
"""Registro 1542""",1008458,5,F,42,1,<NA>,AirBnB
"""Registro 1543""",1013937,3,M,40,<NA>,IT,Hotel
"""Registro 1544""",1001649,3,F,38,<NA>,NL,Hotel
"""Registro 1545""",1001671,3,M,43,1,AR,Hotel
"""Registro 1546""",1012245,4,M,37,1,NL,AirBnB
"""Registro 1547""",1011246,6,M,48,0,PE,AirBnB
"""Registro 1548""",1008433,5,M,42,1,IT,Hotel
"""Registro 1549""",1005380,7,F,46,1,PE,AirBnB
"""Registro 1550""",1002737,4,M,<NA>,0,COL,Hotel
"""Registro 1551""",1002592,5,M,40,1,PE,AirBnB
"""Registro 1552""",1010143,6,F,37,0,PE,AirBnB
"""Registro 1553""",1010640,4,F,49,0,US,Hotel
"""Registro 1554""",1013659,6,M,34,0,AR,Hotel
"""Registro 1555""",1003936,5,F,42,0,UK,Hotel
"""Registro 1556""",1009633,2,F,46,0,PE,Hotel
"""Registro 1557""",1001072,4,M,<NA>,1,AR,Hotel
"""Registro 1558""",1011268,6,F,46,1,AR,Hotel
"""Registro 1559""",1009040,2,F,40,0,ES,Hotel
"""Registro 1560""",1007397,6,M,36,1,PE,AirBnB
"""Registro 1561""",1008176,3,M,49,1,PE,Hotel
"""Registro 1562""",1010668,2,F,39,0,COL,AirBnB
"""Registro 1563""",1008835,5,F,29,0,<NA>,AirBnB
"""Registro 1564""",1013810,4,M,37,1,IT,AirBnB
"""Registro 1565""",1000828,11,M,42,1,US,Hotel
"""Registro 1566""",1004341,6,M,38,0,US,Hotel
"""Registro 1567""",1008701,4,M,39,0,AR,Hotel
"""Registro 1568""",1000894,2,F,41,0,PE,Hotel
"""Registro 1569""",1000971,4,F,30,0,<NA>,Hotel
"""Registro 1570""",1004798,5,M,41,1,<NA>,Hotel
"""Registro 1571""",1009144,2,M,42,1,UK,Hotel
"""Registro 1572""",1000844,7,M,<NA>,<NA>,COL,Hotel
"""Registro 1573""",1012942,4,F,33,0,ES,AirBnB
"""Registro 1574""",1011763,4,M,46,0,<NA>,AirBnB
"""Registro 1575""",1002456,3,M,45,1,UK,Hotel
"""Registro 1576""",1011630,4,F,43,1,<NA>,AirBnB
"""Registro 1577""",1008359,3,F,45,0,NL,Hotel
"""Registro 1578""",1006456,6,F,37,1,IT,Hotel
"""Registro 1579""",1011772,6,M,38,1,ES,AirBnB
"""Registro 1580""",1008962,4,F,43,0,UK,Hotel
"""Registro 1581""",1011541,3,F,42,1,UK,Hotel
"""Registro 1582""",1000352,5,F,47,0,COL,Hotel
"""Registro 1583""",1005529,4,F,39,1,<NA>,Hotel
"""Registro 1584""",1000874,3,F,41,1,IT,AirBnB
"""Registro 1585""",1000622,2,F,37,0,<NA>,AirBnB
"""Registro 1586""",1000327,3,F,<NA>,1,<NA>,Hotel
"""Registro 1587""",1013267,3,M,44,1,NL,AirBnB
"""Registro 1588""",1003392,2,F,28,0,IT,AirBnB
"""Registro 1589""",1013863,6,M,29,0,AR,Hotel
"""Registro 1590""",1012466,6,M,<NA>,1,IT,AirBnB
"""Registro 1591""",1011624,5,M,41,<NA>,<NA>,AirBnB
"""Registro 1592""",1006471,2,F,41,0,IT,Hotel
"""Registro 1593""",1002399,3,F,<NA>,1,IT,AirBnB
"""Registro 1594""",1005866,6,F,38,0,ES,Hotel
"""Registro 1595""",1007096,6,M,41,0,US,AirBnB
"""Registro 1596""",1003806,3,M,44,1,US,Hotel
"""Registro 1597""",1002819,1,F,47,1,COL,Hotel
"""Registro 1598""",1009975,4,M,<NA>,0,US,AirBnB
"""Registro 1599""",1011751,3,F,<NA>,0,<NA>,Hotel
"""Registro 1600""",1001684,3,M,49,0,IT,AirBnB
"""Registro 1601""",1013474,3,F,38,1,<NA>,Hotel
"""Registro 1602""",1004528,4,M,27,<NA>,COL,Hotel
"""Registro 1603""",1005889,5,F,<NA>,1,IT,AirBnB
"""Registro 1604""",1012359,6,M,38,<NA>,IT,Hotel
"""Registro 1605""",1008461,5,M,51,1,IT,Hotel
"""Registro 1606""",1010387,2,F,31,1,US,Hotel
"""Registro 1607""",1009948,3,M,38,0,COL,Hotel
"""Registro 1608""",1008389,3,M,<NA>,1,NL,AirBnB
"""Registro 1609""",1011344,5,M,36,1,PE,AirBnB
"""Registro 1610""",1000840,5,F,39,0,AR,AirBnB
"""Registro 1611""",1010527,5,M,41,0,COL,Hotel
"""Registro 1612""",1004274,4,F,46,0,<NA>,Hotel
"""Registro 1613""",1011676,2,F,43,0,COL,Hotel
"""Registro 1614""",1011488,4,M,32,1,<NA>,AirBnB
"""Registro 1615""",1009289,3,M,40,1,US,AirBnB
"""Registro 1616""",1010285,4,M,44,0,COL,Hotel
"""Registro 1617""",1010778,3,F,32,0,PE,Hotel
"""Registro 1618""",1006423,4,F,37,0,UK,AirBnB
"""Registro 1619""",1009214,3,F,37,0,AR,AirBnB
"""Registro 1620""",1011905,8,M,42,1,IT,Hotel
"""Registro 1621""",1009603,2,M,48,0,COL,Hotel
"""Registro 1622""",1006340,5,F,43,<NA>,<NA>,Hotel
"""Registro 1623""",1000685,4,M,37,0,NL,AirBnB
"""Registro 1624""",1009488,6,M,37,1,COL,AirBnB
"""Registro 1625""",1005404,7,M,40,1,<NA>,AirBnB
"""Registro 1626""",1010058,4,F,50,0,<NA>,AirBnB
"""Registro 1627""",1004771,3,M,41,1,COL,Hotel
"""Registro 1628""",1002080,5,F,45,0,ES,Hotel
"""Registro 1629""",1011467,4,F,39,1,IT,Hotel
"""Registro 1630""",1013861,2,M,48,0,PE,Hotel
"""Registro 1631""",1009151,7,M,47,1,PE,Hotel
"""Registro 1632""",1000145,2,F,38,<NA>,<NA>,Hotel
"""Registro 1633""",1002724,4,M,44,1,US,Hotel
"""Registro 1634""",1007607,2,F,34,0,AR,Hotel
"""Registro 1635""",1004373,5,F,40,0,IT,AirBnB
"""Registro 1636""",1012956,7,M,33,0,NL,Hotel
"""Registro 1637""",1013182,7,M,43,0,IT,Hotel
"""Registro 1638""",1008279,4,F,<NA>,0,<NA>,AirBnB
"""Registro 1639""",1003311,2,M,37,0,UK,Hotel
"""Registro 1640""",1005703,3,M,48,1,IT,Hotel
"""Registro 1641""",1004600,2,F,43,1,US,AirBnB
"""Registro 1642""",1005899,7,F,37,0,PE,AirBnB
"""Registro 1643""",1012284,5,F,37,<NA>,<NA>,Hotel
"""Registro 1644""",1003516,5,F,35,1,UK,Hotel
"""Registro 1645""",1007290,2,F,38,1,US,Hotel
"""Registro 1646""",1001618,5,F,44,0,US,Hotel
"""Registro 1647""",1000162,2,F,45,0,COL,Hotel
"""Registro 1648""",1004206,2,F,37,1,UK,Hotel
"""Registro 1649""",1002722,3,F,36,1,PE,Hotel
"""Registro 1650""",1008913,4,M,39,0,IT,Hotel
"""Registro 1651""",1009729,3,F,<NA>,0,PE,Hotel
"""Registro 1652""",1010242,4,M,45,1,ES,Hotel
"""Registro 1653""",1000642,3,F,43,0,IT,Hotel
"""Registro 1654""",1009209,2,F,41,0,IT,Hotel
"""Registro 1655""",1011484,6,F,38,0,AR,AirBnB
"""Registro 1656""",1013598,5,M,44,0,UK,AirBnB
"""Registro 1657""",1008174,4,M,43,0,COL,AirBnB
"""Registro 1658""",1000493,2,M,44,0,IT,AirBnB
"""Registro 1659""",1010405,3,M,33,0,COL,Hotel
"""Registro 1660""",1001297,7,M,34,0,US,Hotel
"""Registro 1661""",1011437,4,F,41,1,US,AirBnB
"""Registro 1662""",1001435,2,M,43,0,COL,Hotel
"""Registro 1663""",1003454,6,M,42,0,AR,AirBnB
"""Registro 1664""",1003281,3,M,47,1,NL,AirBnB
"""Registro 1665""",1003426,5,F,46,0,PE,AirBnB
"""Registro 1666""",1002445,4,F,39,1,IT,AirBnB
"""Registro 1667""",1000151,3,M,36,1,UK,AirBnB
"""Registro 1668""",1005689,5,M,<NA>,0,US,Hotel
"""Registro 1669""",1009387,4,M,47,1,PE,Hotel
"""Registro 1670""",1010446,3,F,51,1,UK,AirBnB
"""Registro 1671""",1007057,3,F,<NA>,<NA>,PE,Hotel
"""Registro 1672""",1011869,8,M,40,<NA>,COL,Hotel
"""Registro 1673""",1002415,3,M,32,1,<NA>,AirBnB
"""Registro 1674""",1006325,3,M,<NA>,1,IT,Hotel
"""Registro 1675""",1013468,3,F,38,0,IT,AirBnB
"""Registro 1676""",1007888,5,M,38,<NA>,UK,Hotel
"""Registro 1677""",1011509,6,F,41,1,PE,AirBnB
"""Registro 1678""",1014040,4,M,<NA>,1,NL,Hotel
"""Registro 1679""",1012109,2,F,<NA>,<NA>,AR,Hotel
"""Registro 1680""",1002236,1,M,44,0,<NA>,AirBnB
"""Registro 1681""",1001013,2,M,51,0,IT,AirBnB
"""Registro 1682""",1000576,5,F,37,0,US,AirBnB
"""Registro 1683""",1005536,5,F,37,1,NL,Hotel
"""Registro 1684""",1007786,2,F,45,0,IT,Hotel
"""Registro 1685""",1012761,4,F,39,0,ES,AirBnB
"""Registro 1686""",1002878,5,F,35,0,COL,AirBnB
"""Registro 1687""",1004195,2,M,41,0,AR,Hotel
"""Registro 1688""",1004384,2,F,38,<NA>,UK,Hotel
"""Registro 1689""",1012705,4,F,<NA>,1,COL,Hotel
"""Registro 1690""",1011684,5,F,39,<NA>,NL,AirBnB
"""Registro 1691""",1008703,3,F,37,<NA>,AR,AirBnB
"""Registro 1692""",1013868,4,M,39,0,ES,Hotel
"""Registro 1693""",1002551,4,M,34,0,NL,Hotel
"""Registro 1694""",1003206,6,F,36,1,AR,Hotel
"""Registro 1695""",1006858,5,M,32,<NA>,NL,Hotel
"""Registro 1696""",1013488,1,M,41,0,PE,AirBnB
"""Registro 1697""",1002369,4,F,45,1,UK,Hotel
"""Registro 1698""",1012136,7,F,44,0,<NA>,Hotel
"""Registro 1699""",1004101,4,M,37,0,UK,AirBnB
"""Registro 1700""",1001372,5,F,33,1,AR,Hotel
"""Registro 1701""",1004343,2,F,36,0,ES,AirBnB
"""Registro 1702""",1011883,6,M,40,<NA>,IT,AirBnB
"""Registro 1703""",1012710,3,F,42,0,NL,Hotel
"""Registro 1704""",1003009,2,F,42,0,US,AirBnB
"""Registro 1705""",1009467,3,F,33,1,ES,Hotel
"""Registro 1706""",1009034,4,F,49,1,NL,Hotel
"""Registro 1707""",1001929,5,F,<NA>,0,ES,AirBnB
"""Registro 1708""",1009664,2,F,43,0,NL,AirBnB
"""Registro 1709""",1010862,1,M,37,0,ES,Hotel
"""Registro 1710""",1008193,2,M,46,0,<NA>,Hotel
"""Registro 1711""",1004071,3,M,38,0,<NA>,Hotel
"""Registro 1712""",1010208,1,M,37,1,ES,AirBnB
"""Registro 1713""",1004171,5,F,35,1,PE,Hotel
"""Registro 1714""",1000816,2,F,46,0,US,Hotel
"""Registro 1715""",1003800,4,M,35,<NA>,US,Hotel
"""Registro 1716""",1004104,3,F,40,0,UK,Hotel
"""Registro 1717""",1001446,3,F,41,<NA>,PE,AirBnB
"""Registro 1718""",1000890,3,F,38,1,AR,Hotel
"""Registro 1719""",1005543,3,F,39,0,PE,AirBnB
"""Registro 1720""",1002149,1,M,46,1,ES,Hotel
"""Registro 1721""",1011063,2,F,41,0,<NA>,Hotel
"""Registro 1722""",1009140,6,M,38,0,UK,Hotel
"""Registro 1723""",1013814,4,F,43,1,NL,AirBnB
"""Registro 1724""",1008300,5,M,31,0,ES,Hotel
"""Registro 1725""",1007716,5,F,26,1,NL,Hotel
"""Registro 1726""",1000945,4,M,45,0,IT,AirBnB
"""Registro 1727""",1006515,10,M,54,1,US,Hotel
"""Registro 1728""",1007621,3,F,51,0,NL,Hotel
"""Registro 1729""",1009676,5,M,45,<NA>,IT,AirBnB
"""Registro 1730""",1008761,3,F,38,0,AR,AirBnB
"""Registro 1731""",1008996,1,M,40,1,COL,AirBnB
"""Registro 1732""",1008537,2,F,39,1,<NA>,Hotel
"""Registro 1733""",1002555,2,M,33,1,IT,AirBnB
"""Registro 1734""",1009757,5,M,46,0,UK,AirBnB
"""Registro 1735""",1007484,5,F,40,1,NL,Hotel
"""Registro 1736""",1008914,6,F,<NA>,0,<NA>,AirBnB
"""Registro 1737""",1012641,3,M,30,1,COL,AirBnB
"""Registro 1738""",1006613,5,F,46,0,PE,Hotel
"""Registro 1739""",1007157,5,M,38,0,NL,Hotel
"""Registro 1740""",1013194,1,F,43,0,COL,Hotel
"""Registro 1741""",1003789,5,M,43,<NA>,IT,Hotel
"""Registro 1742""",1006901,5,M,47,1,IT,Hotel
"""Registro 1743""",1001300,4,F,46,1,AR,AirBnB
"""Registro 1744""",1014064,3,M,40,0,NL,Hotel
"""Registro 1745""",1000139,3,F,45,0,US,Hotel
"""Registro 1746""",1004694,4,M,<NA>,1,AR,AirBnB
"""Registro 1747""",1012429,3,M,44,1,UK,Hotel
"""Registro 1748""",1006044,2,F,48,0,IT,Hotel
"""Registro 1749""",1006487,4,F,39,1,PE,Hotel
"""Registro 1750""",1003336,3,F,40,1,AR,Hotel
"""Registro 1751""",1000785,3,F,45,0,COL,Hotel
"""Registro 1752""",1005468,2,F,38,0,COL,AirBnB
"""Registro 1753""",1002437,4,M,<NA>,1,IT,Hotel
"""Registro 1754""",1001103,2,F,50,<NA>,<NA>,Hotel
"""Registro 1755""",1005936,5,M,<NA>,0,AR,AirBnB
"""Registro 1756""",1001512,5,F,37,1,US,Hotel
"""Registro 1757""",1009963,3,F,39,1,NL,Hotel
"""Registro 1758""",1011594,6,M,40,1,PE,AirBnB
"""Registro 1759""",1000097,3,M,38,1,<NA>,AirBnB
"""Registro 1760""",1001854,4,F,37,<NA>,IT,Hotel
"""Registro 1761""",1003697,2,M,40,1,IT,AirBnB
"""Registro 1762""",1001271,3,F,<NA>,0,US,AirBnB
"""Registro 1763""",1002897,5,M,34,0,AR,Hotel
"""Registro 1764""",1000142,4,M,30,1,AR,Hotel
"""Registro 1765""",1004089,3,F,42,0,ES,Hotel
"""Registro 1766""",1012345,3,F,36,<NA>,<NA>,AirBnB
"""Registro 1767""",1005771,4,F,48,<NA>,NL,AirBnB
"""Registro 1768""",1006714,6,M,50,1,COL,AirBnB
"""Registro 1769""",1013525,4,F,52,0,NL,Hotel
"""Registro 1770""",1006435,3,F,<NA>,0,COL,AirBnB
"""Registro 1771""",1013142,3,F,33,1,UK,Hotel
"""Registro 1772""",1009295,7,M,45,0,COL,AirBnB
"""Registro 1773""",1011302,3,F,31,1,IT,Hotel
"""Registro 1774""",1006420,3,F,41,1,COL,AirBnB
"""Registro 1775""",1008831,1,F,<NA>,1,IT,Hotel
"""Registro 1776""",1000368,3,M,37,1,UK,AirBnB
"""Registro 1777""",1010035,4,F,29,0,PE,AirBnB
"""Registro 1778""",1012981,4,F,44,0,ES,Hotel
"""Registro 1779""",1011033,1,M,25,1,IT,AirBnB
"""Registro 1780""",1012515,1,M,<NA>,0,ES,Hotel
"""Registro 1781""",1007402,4,M,39,1,IT,Hotel
"""Registro 1782""",1006426,2,F,42,1,NL,AirBnB
"""Registro 1783""",1008059,4,M,41,1,PE,Hotel
"""Registro 1784""",1004780,5,M,42,1,UK,Hotel
"""Registro 1785""",1012580,5,F,43,0,PE,AirBnB
"""Registro 1786""",1010107,4,F,31,1,NL,Hotel
"""Registro 1787""",1013898,7,F,<NA>,1,IT,AirBnB
"""Registro 1788""",1000742,3,M,44,1,COL,Hotel
"""Registro 1789""",1012878,7,F,38,1,AR,Hotel
"""Registro 1790""",1007606,3,M,39,1,AR,Hotel
"""Registro 1791""",1006810,7,F,39,0,COL,Hotel
"""Registro 1792""",1001407,5,F,44,0,IT,Hotel
"""Registro 1793""",1001816,2,M,34,1,COL,Hotel
"""Registro 1794""",1000549,4,M,46,0,<NA>,AirBnB
"""Registro 1795""",1012438,2,M,32,0,COL,Hotel
"""Registro 1796""",1004592,4,M,40,1,COL,AirBnB
"""Registro 1797""",1011301,7,F,<NA>,0,<NA>,AirBnB
"""Registro 1798""",1012451,3,M,48,0,AR,AirBnB
"""Registro 1799""",1012155,3,F,46,0,PE,Hotel
"""Registro 1800""",1009709,2,F,45,1,NL,AirBnB
"""Registro 1801""",1009256,6,F,41,0,IT,Hotel
"""Registro 1802""",1012602,5,M,39,1,ES,AirBnB
"""Registro 1803""",1009978,4,F,49,1,PE,AirBnB
"""Registro 1804""",1008081,6,M,40,1,PE,AirBnB
"""Registro 1805""",1008653,2,F,35,1,ES,Hotel
"""Registro 1806""",1006326,5,F,39,1,NL,Hotel
"""Registro 1807""",1013429,3,F,<NA>,1,AR,Hotel
"""Registro 1808""",1005982,5,M,37,0,PE,Hotel
"""Registro 1809""",1010561,5,F,46,0,US,Hotel
"""Registro 1810""",1007521,4,F,41,0,UK,Hotel
"""Registro 1811""",1012577,4,M,46,0,NL,AirBnB
"""Registro 1812""",1003805,4,M,35,0,PE,Hotel
"""Registro 1813""",1010195,5,M,<NA>,1,US,AirBnB
"""Registro 1814""",1012168,7,M,39,0,UK,Hotel
"""Registro 1815""",1011499,5,F,44,1,UK,Hotel
"""Registro 1816""",1009825,4,M,47,1,AR,Hotel
"""Registro 1817""",1007023,3,F,<NA>,<NA>,COL,AirBnB
"""Registro 1818""",1000502,3,M,45,1,<NA>,Hotel
"""Registro 1819""",1010155,4,M,39,0,ES,Hotel
"""Registro 1820""",1006115,3,F,41,1,ES,Hotel
"""Registro 1821""",1010845,5,F,40,0,NL,AirBnB
"""Registro 1822""",1000489,4,F,38,1,COL,Hotel
"""Registro 1823""",1005875,6,F,<NA>,0,PE,AirBnB
"""Registro 1824""",1007196,1,F,37,1,COL,Hotel
"""Registro 1825""",1013601,5,F,41,<NA>,COL,AirBnB
"""Registro 1826""",1001027,4,F,41,1,COL,AirBnB
"""Registro 1827""",1001175,3,F,36,0,NL,AirBnB
"""Registro 1828""",1003259,2,M,49,0,ES,AirBnB
"""Registro 1829""",1009480,3,M,44,1,IT,Hotel
"""Registro 1830""",1003365,6,F,41,1,PE,AirBnB
"""Registro 1831""",1010808,5,M,31,1,PE,AirBnB
"""Registro 1832""",1001472,2,M,41,1,AR,Hotel
"""Registro 1833""",1002460,5,M,46,1,<NA>,Hotel
"""Registro 1834""",1011048,7,M,42,0,<NA>,AirBnB
"""Registro 1835""",1012708,8,F,41,1,UK,AirBnB
"""Registro 1836""",1012156,3,M,41,0,AR,AirBnB
"""Registro 1837""",1011936,2,M,41,0,ES,AirBnB
"""Registro 1838""",1005831,4,M,40,0,NL,Hotel
"""Registro 1839""",1007679,6,F,<NA>,0,IT,Hotel
"""Registro 1840""",1003911,2,M,36,1,US,AirBnB
"""Registro 1841""",1009248,9,F,32,1,PE,Hotel
"""Registro 1842""",1005535,2,F,40,1,UK,Hotel
"""Registro 1843""",1005711,2,M,49,1,UK,Hotel
"""Registro 1844""",1004712,2,M,33,0,IT,Hotel
"""Registro 1845""",1003301,2,F,<NA>,0,<NA>,Hotel
"""Registro 1846""",1012826,4,F,<NA>,1,ES,AirBnB
"""Registro 1847""",1000484,3,F,45,1,IT,AirBnB
"""Registro 1848""",1000817,3,M,42,0,NL,Hotel
"""Registro 1849""",1009389,6,M,43,0,UK,AirBnB
"""Registro 1850""",1007430,1,M,45,1,COL,Hotel
"""Registro 1851""",1003980,4,M,42,0,AR,AirBnB
"""Registro 1852""",1001488,7,M,37,1,US,AirBnB
"""Registro 1853""",1012280,2,M,41,1,AR,Hotel
"""Registro 1854""",1013573,4,F,<NA>,0,UK,AirBnB
"""Registro 1855""",1002144,2,M,36,0,NL,Hotel
"""Registro 1856""",1000952,4,F,36,1,PE,Hotel
"""Registro 1857""",1001222,5,M,38,1,AR,AirBnB
"""Registro 1858""",1013384,4,M,32,0,UK,Hotel
"""Registro 1859""",1004822,4,F,40,1,ES,Hotel
"""Registro 1860""",1003675,5,M,40,0,PE,Hotel
"""Registro 1861""",1010941,2,M,39,<NA>,UK,AirBnB
"""Registro 1862""",1005516,5,M,44,1,UK,AirBnB
"""Registro 1863""",1006833,4,F,35,0,PE,AirBnB
"""Registro 1864""",1000435,1,F,41,1,UK,AirBnB
"""Registro 1865""",1005160,7,M,31,0,COL,Hotel
"""Registro 1866""",1001709,6,M,32,1,PE,AirBnB
"""Registro 1867""",1013212,1,M,32,1,US,AirBnB
